,Unnamed: 0,url_length,special_chars
1566,1566,64,11
634,634,165,26
347,347,34,5
66,66,39,8
1499,1499,42,4
1303,1303,32,5
1237,1237,54,10
881,881,26,2
130,130,136,20
414,414,31,3
704,704,19,2
916,916,77,9
1691,1691,65,8
1786,1786,87,14
1490,1490,209,69
1769,1769,35,3
256,256,118,15
381,381,27,6
1699,1699,31,4
678,678,22,2
284,284,80,19
4,4,235,14
1093,1093,93,12
1410,1410,169,26
750,750,86,14
1366,1366,43,4
690,690,65,9
1095,1095,49,8
1486,1486,130,27
1089,1089,17,2
688,688,32,4
834,834,24,4
675,675,91,12
1063,1063,51,6
1524,1524,46,6
198,198,26,2
842,842,67,10
1560,1560,76,11
1298,1298,33,8
1680,1680,55,8
1678,1678,26,2
706,706,87,15
1460,1460,30,4
1348,1348,25,4
1011,1011,59,8
564,564,39,4
257,257,131,20
910,910,44,8
652,652,131,16
1794,1794,42,7
183,183,35,6
1224,1224,47,7
507,507,103,13
1629,1629,97,17
1363,1363,97,18
1184,1184,16,2
0,0,16,3
641,641,103,17
919,919,86,10
180,180,114,20
909,909,77,16
921,921,111,25
69,69,29,5
1452,1452,54,8
506,506,39,7
1073,1073,31,3
864,864,90,30
671,671,110,15
599,599,32,8
1086,1086,120,21
497,497,11,1
73,73,33,5
1673,1673,46,7
818,818,95,16
1780,1780,26,2
876,876,19,2
1061,1061,25,4
1594,1594,58,9
859,859,67,9
1352,1352,40,5
316,316,31,4
800,800,22,4
791,791,88,11
31,31,53,7
587,587,33,5
642,642,44,5
11,11,64,10
275,275,63,12
937,937,80,13
217,217,50,9
1379,1379,59,11
1727,1727,86,16
1671,1671,74,9
824,824,51,7
1123,1123,47,6
151,151,98,17
547,547,18,2
21,21,42,6
1635,1635,76,15
1223,1223,14,2
1358,1358,25,3
952,952,39,5
1066,1066,19,3
359,359,17,2
1726,1726,140,25
328,328,28,5
121,121,52,7
930,930,22,3
1638,1638,37,8
543,543,83,15
1031,1031,50,8
228,228,36,4
443,443,46,8
1539,1539,32,2
817,817,59,8
44,44,15,2
1462,1462,79,13
681,681,16,2
24,24,33,4
1516,1516,31,5
230,230,57,8
477,477,47,5
1688,1688,51,7
305,305,45,6
1729,1729,31,4
272,272,39,6
1293,1293,93,14
1766,1766,92,17
1127,1127,51,12
638,638,22,3
238,238,73,9
266,266,61,9
1090,1090,17,1
905,905,48,6
1781,1781,38,5
1549,1549,56,8
1143,1143,31,4
1214,1214,80,9
1458,1458,48,8
1471,1471,50,10
232,232,28,3
862,862,137,19
765,765,23,2
719,719,38,3
418,418,61,9
869,869,34,5
1771,1771,103,16
580,580,87,14
1082,1082,39,7
923,923,62,8
768,768,25,3
147,147,83,17
1254,1254,32,4
1205,1205,35,5
227,227,35,3
485,485,59,10
390,390,55,6
60,60,32,8
435,435,23,3
376,376,26,3
348,348,47,8
302,302,121,20
33,33,33,3
1479,1479,35,5
1685,1685,69,11
1194,1194,22,4
755,755,15,2
1791,1791,173,27
889,889,25,2
413,413,51,6
1610,1610,42,5
726,726,87,13
1009,1009,30,6
1192,1192,44,8
1419,1419,52,7
133,133,46,7
740,740,35,6
1094,1094,59,11
1563,1563,42,4
1411,1411,30,4
72,72,20,1
