,url_length,special_chars
585,120,21
1390,22,3
410,54,7
185,26,2
959,118,12
186,12,2
509,46,8
591,44,8
1019,39,5
783,69,13
1265,31,3
1148,33,5
656,68,11
989,21,1
1605,60,10
1161,80,12
245,105,16
1386,84,13
1006,42,6
1587,23,2
297,94,19
597,34,7
267,37,3
1179,120,21
558,61,10
357,16,2
498,31,4
259,32,4
339,81,27
1048,49,5
109,38,5
627,32,7
65,44,8
1735,28,3
450,99,33
1470,64,7
262,68,12
1788,51,6
1191,38,6
288,34,4
1204,50,6
829,89,16
1238,37,5
1493,93,17
48,31,4
239,20,3
453,34,5
1611,18,2
1584,37,7
167,30,1
1721,19,2
1087,30,5
1221,42,5
512,65,7
1408,102,20
1459,61,8
581,27,5
792,33,5
1393,61,9
975,18,2
457,51,7
807,12,3
1343,47,6
1041,85,14
691,32,4
1485,84,15
419,24,4
126,22,2
1416,116,22
1397,85,16
822,109,23
901,16,3
421,62,8
645,87,14
496,14,2
1339,36,5
307,71,14
612,27,3
187,69,9
1436,29,3
1457,114,21
1756,20,2
977,31,4
1071,17,2
341,96,13
1032,17,2
189,79,14
1709,15,2
1129,26,4
200,47,8
1133,31,4
1266,42,6
138,77,8
19,34,8
278,34,5
194,45,6
1295,97,18
683,75,12
556,76,11
511,77,9
945,93,14
1425,85,11
1487,93,19
699,25,4
741,75,12
491,113,19
968,33,5
96,73,13
1036,92,15
203,67,12
158,15,1
26,30,4
145,53,8
70,32,4
157,25,3
318,13,2
722,54,8
1145,86,15
325,77,15
476,38,7
1754,77,13
36,48,9
392,13,2
64,19,2
1670,49,7
1193,35,3
391,88,16
37,29,4
1581,36,4
252,30,4
1185,55,9
1371,17,2
195,43,6
1046,57,7
1044,51,9
75,40,7
1216,45,7
639,36,4
1251,70,9
843,41,7
1052,48,8
1570,29,3
1097,141,22
607,62,8
242,28,4
153,21,2
1634,25,3
733,45,4
209,69,9
708,43,5
679,102,17
1608,36,6
1514,132,25
86,60,9
52,31,3
1002,99,18
890,56,8
571,25,6
1474,31,4
393,53,9
777,38,5
1101,116,22
1394,41,5
437,55,6
1567,83,11
776,9,2
1139,63,14
603,43,4
1350,76,16
349,20,2
1622,29,5
229,142,29
473,11,1
1323,62,9
50,100,21
958,50,5
841,18,2
766,68,14
1700,93,20
694,70,14
1013,76,9
1264,35,3
693,45,9
1730,37,5
1125,35,5
846,49,4
49,129,19
1717,124,22
98,107,16
182,85,13
1690,108,21
1537,94,12
676,32,4
994,61,12
416,50,8
149,27,4
1589,41,6
629,112,18
748,59,8
897,54,6
1037,29,4
569,25,2
295,49,7
1669,37,5
1197,108,18
1579,78,11
79,50,7
647,119,15
168,124,22
1351,150,25
54,7,2
1444,98,17
321,63,9
1297,89,18
1383,55,8
532,19,2
1355,41,5
502,25,3
1415,29,3
1620,40,6
720,25,5
223,58,9
835,49,7
144,41,6
1733,12,1
1331,51,6
296,22,3
666,64,9
59,47,6
1175,45,6
1429,11,1
274,13,2
983,31,4
825,28,6
327,66,9
1209,34,5
1510,80,14
594,69,14
820,92,12
1637,45,5
1722,28,2
91,229,77
773,35,5
1453,127,25
1067,57,8
998,22,3
1201,40,5
1517,34,7
179,28,3
1260,55,9
1559,44,6
847,62,10
893,91,16
583,17,2
1375,16,2
1541,33,5
1354,32,3
729,36,5
1399,87,19
251,59,13
698,38,6
886,44,9
1505,29,6
751,41,7
695,104,15
701,67,8
273,38,5
1776,67,13
1535,32,5
1716,87,12
233,25,5
1287,16,2
747,56,7
856,16,3
68,55,12
475,23,2
1321,15,2
289,65,13
1543,89,17
526,54,8
1273,26,5
1160,58,10
1208,37,7
1239,25,2
1241,39,5
1065,79,16
1503,76,12
53,46,8
1597,60,9
1748,49,6
1292,45,5
960,171,24
1497,56,7
269,45,7
1275,138,20
620,87,17
1502,178,27
997,46,8
1253,14,1
621,35,4
1762,59,8
231,41,6
451,31,4
253,112,22
129,290,82
152,79,7
936,37,4
1520,78,16
464,79,17
1285,34,4
1326,89,16
705,41,6
1098,27,4
865,41,6
309,32,6
1030,33,7
1103,20,3
1007,42,9
1445,74,12
926,81,27
1630,25,3
1441,124,16
567,38,4
1162,42,5
105,27,2
407,99,18
1356,35,6
74,38,5
88,36,5
300,13,2
1330,53,7
715,51,8
1206,41,4
557,43,9
653,94,30
172,96,14
25,33,5
1262,86,17
213,96,19
888,39,6
481,116,14
1667,56,8
1428,50,7
1640,121,19
1367,80,10
1583,65,11
468,121,23
102,112,19
1527,20,2
635,131,24
134,31,3
399,90,12
517,124,24
1043,60,6
1247,67,13
1024,64,11
1598,31,4
1657,62,8
478,126,20
734,57,9
560,69,12
1491,30,4
1639,74,11
97,33,5
55,91,12
43,99,14
1488,200,19
946,71,9
18,46,8
1158,49,7
1203,39,9
1515,25,3
1652,24,3
700,127,20
280,54,7
1034,26,4
922,33,5
1222,72,11
1783,188,16
1186,76,14
1628,33,6
430,23,2
737,42,5
1062,72,11
508,81,11
161,72,14
1676,32,4
1059,35,4
1026,25,2
432,37,5
1114,39,9
1430,21,4
1454,72,9
1328,43,6
810,93,13
1276,78,16
1388,134,18
1448,37,4
611,38,4
1126,36,4
1547,19,2
617,146,19
101,50,9
1412,25,3
1109,72,13
1742,54,5
1164,39,7
1626,42,7
1498,31,3
759,89,15
1647,21,3
549,48,8
933,46,5
963,31,5
1512,39,5
1528,89,17
542,62,8
1706,27,3
677,45,8
707,78,10
763,70,11
1070,100,17
1134,63,8
306,34,7
1779,32,4
1433,33,7
1677,24,2
665,18,3
561,96,19
1215,76,15
1504,38,4
849,15,3
80,66,11
1483,20,2
16,44,7
177,34,5
554,25,4
384,45,9
826,57,8
1642,24,2
615,16,2
788,81,6
941,60,14
1753,59,11
424,31,3
174,41,5
584,86,16
1168,52,4
935,40,5
944,21,4
1426,71,13
727,65,7
1414,69,11
1758,39,4
814,49,9
1156,51,4
462,45,10
465,70,9
774,25,4
1248,29,3
1210,59,6
1407,26,3
23,83,13
565,17,2
1463,69,11
1496,65,11
857,152,24
1442,59,9
970,51,7
1405,53,7
863,47,10
1055,26,3
785,289,82
1778,117,23
1745,12,2
521,50,6
193,77,15
1227,21,3
943,75,15
1261,94,21
654,220,16
861,38,5
1138,44,8
692,24,4
333,86,16
1005,43,6
1654,72,10
1674,47,6
1022,84,10
837,30,3
673,58,9
1596,65,13
1288,40,7
1382,38,6
1555,61,8
337,98,20
1562,11,1
1658,14,1
1404,87,18
1798,139,24
5,118,24
84,104,23
575,51,7
1595,52,8
1613,31,4
600,135,23
127,85,19
1027,54,8
1015,39,4
1284,121,19
721,119,21
711,35,4
106,113,16
433,16,2
178,75,14
572,59,10
649,58,6
757,29,3
368,52,8
1529,62,10
595,25,3
1568,44,7
1374,63,14
314,23,3
1072,27,4
1336,39,5
887,278,16
32,38,5
447,59,9
957,81,27
1712,48,11
1233,34,3
1283,50,9
