,url_length,content_length,mal,charsets,server,special_chars
182,85,-1,0,-1,-1,13
183,35,-1,0,-1,-1,6
184,36,-1,0,-1,-1,5
185,26,-1,0,-1,-1,2
186,12,-1,0,-1,-1,2
187,69,-1,1,-1,-1,9
188,51,-1,0,-1,-1,8
189,79,-1,1,-1,-1,14
190,52,-1,0,-1,-1,10
191,77,-1,0,-1,-1,11
192,22,-1,0,-1,-1,4
193,77,-1,1,-1,-1,15
194,45,-1,0,-1,-1,6
195,43,-1,0,-1,-1,6
196,47,-1,0,-1,-1,6
197,54,-1,0,-1,-1,7
198,26,-1,1,-1,-1,2
199,30,-1,1,-1,-1,6
200,47,-1,0,-1,-1,8
201,26,-1,0,-1,-1,3
202,35,-1,0,-1,-1,5
203,67,-1,0,-1,-1,12
204,31,-1,0,-1,-1,4
205,33,-1,0,-1,-1,5
206,48,-1,0,-1,-1,7
207,91,-1,0,-1,-1,18
208,36,-1,0,-1,-1,4
209,69,-1,0,-1,-1,9
210,64,-1,0,-1,-1,11
211,33,-1,0,-1,-1,4
212,99,-1,1,-1,-1,33
213,96,-1,1,-1,-1,19
214,56,-1,0,-1,-1,6
215,53,,1,['utf-8'],nginx,8
216,26,-1,0,-1,-1,2
217,50,-1,0,-1,-1,9
218,81,-1,0,-1,-1,12
219,9,-1,0,-1,-1,2
220,71,-1,0,-1,-1,7
221,113,76829,0,['utf-8'],nginx,21
222,43,-1,0,-1,-1,6
223,58,-1,0,-1,-1,9
224,97,-1,0,-1,-1,14
225,99,-1,0,-1,-1,15
226,73,-1,0,-1,-1,12
227,35,-1,0,-1,-1,3
228,36,-1,0,-1,-1,4
229,142,-1,0,-1,-1,29
230,57,-1,0,-1,-1,8
231,41,-1,0,-1,-1,6
232,28,-1,1,-1,-1,3
233,25,-1,0,-1,-1,5
234,13,-1,1,-1,-1,1
235,35,-1,0,-1,-1,6
236,83,-1,0,-1,-1,13
237,93,-1,0,-1,-1,19
238,73,-1,1,-1,-1,9
239,20,-1,0,-1,-1,3
240,81,4542,1,[None],nginx,23
241,35,-1,0,-1,-1,5
242,28,-1,0,-1,-1,4
243,81,-1,1,-1,,27
244,65,-1,0,-1,-1,12
245,105,-1,0,-1,-1,16
246,27,-1,1,-1,-1,3
247,92,-1,0,-1,-1,12
248,60,-1,0,-1,-1,9
249,17,-1,0,-1,-1,2
250,99,-1,0,-1,-1,11
251,59,-1,1,-1,-1,13
252,30,-1,0,-1,-1,4
253,112,,1,['utf-8'],nginx,22
254,50,-1,0,-1,-1,6
255,109,-1,1,-1,-1,22
256,118,-1,1,-1,-1,15
257,131,-1,0,-1,-1,20
258,63,-1,0,-1,-1,9
259,32,-1,0,-1,-1,4
260,102,-1,1,-1,-1,17
261,163,-1,0,-1,-1,30
262,68,-1,0,-1,-1,12
263,58,-1,1,-1,-1,12
264,47,-1,0,-1,-1,6
265,38,-1,0,-1,-1,8
266,61,-1,0,-1,-1,9
267,37,-1,0,-1,-1,3
268,64,-1,0,-1,-1,9
269,45,-1,0,-1,-1,7
270,67,-1,0,-1,-1,9
271,51,-1,0,-1,-1,7
272,39,-1,0,-1,-1,6
273,38,-1,0,-1,-1,5
274,13,-1,0,-1,-1,2
275,63,-1,1,-1,-1,12
276,35,-1,0,-1,-1,7
277,17,-1,0,-1,-1,2
278,34,-1,0,-1,-1,5
279,103,,1,['utf-8'],,17
280,54,-1,0,-1,-1,7
281,74,-1,0,-1,-1,12
282,72,-1,1,-1,-1,10
283,45,-1,0,-1,-1,6
284,80,-1,1,-1,-1,19
285,61,-1,1,-1,-1,11
286,67,18426,1,['none'],Apache,12
287,75,-1,1,-1,-1,14
288,34,-1,0,-1,-1,4
289,65,,1,['utf-8'],Apache,13
290,64,-1,0,-1,-1,7
291,60,-1,0,-1,-1,8
292,19,-1,0,-1,-1,4
293,69,-1,0,-1,-1,10
294,40,-1,0,-1,-1,7
295,49,-1,0,-1,-1,7
296,22,-1,0,-1,-1,3
297,94,-1,1,-1,-1,19
298,38,-1,1,-1,-1,8
299,92,-1,0,-1,-1,16
300,13,-1,0,-1,-1,2
301,65,-1,1,-1,-1,10
302,121,-1,1,-1,-1,20
303,59,-1,0,-1,-1,9
304,31,-1,0,-1,-1,4
305,45,-1,0,-1,-1,6
306,34,-1,1,-1,-1,7
307,71,-1,1,-1,-1,14
308,54,-1,0,-1,-1,7
309,32,-1,0,-1,-1,6
310,30,-1,0,-1,-1,5
311,57,-1,0,-1,-1,7
312,41,-1,0,-1,-1,4
313,35,-1,0,-1,-1,4
314,23,-1,0,-1,-1,3
315,121,673806,0,['utf-8'],openresty/1.21.4.1,11
316,31,-1,0,-1,-1,4
317,13,-1,0,-1,-1,2
318,13,-1,0,-1,-1,2
319,45,-1,0,-1,-1,5
320,150,-1,0,-1,-1,22
321,63,-1,0,-1,-1,9
322,13,-1,0,-1,-1,2
323,81,-1,0,-1,-1,6
324,121,-1,0,-1,-1,23
325,77,-1,1,-1,-1,15
326,49,-1,0,-1,-1,7
327,66,-1,0,-1,-1,9
328,28,-1,0,-1,-1,5
329,98,-1,1,-1,-1,19
330,45,-1,0,-1,-1,5
331,103,-1,1,-1,-1,15
332,75,-1,0,-1,-1,9
333,86,-1,0,-1,-1,16
334,34,-1,0,-1,-1,5
335,69,-1,0,-1,-1,7
336,83,-1,1,-1,-1,17
337,98,,1,['utf-8'],Apache/2,20
338,49,-1,0,-1,-1,7
339,81,1101,1,['utf-8'],,27
340,122,-1,0,-1,-1,26
341,96,-1,0,-1,-1,13
342,36,-1,0,-1,-1,6
343,18,-1,1,-1,-1,2
344,17,-1,0,-1,-1,2
345,58,-1,0,-1,-1,8
346,24,-1,0,-1,-1,4
347,34,-1,0,-1,-1,5
348,47,-1,0,-1,-1,8
349,20,-1,1,-1,-1,2
350,54,-1,0,-1,-1,11
351,88,90431,0,['utf-8'],Universe,19
352,85,,0,['windows-1251'],ddos-guard,27
353,85,-1,1,-1,-1,17
354,50,8,1,['utf-8'],gunicorn/0.17.2,10
355,39,-1,1,-1,-1,8
356,44,-1,0,-1,-1,5
357,16,-1,0,-1,-1,2
358,54,-1,0,-1,-1,6
359,17,-1,0,-1,-1,2
360,29,-1,0,-1,-1,5
361,50,-1,0,-1,-1,7
362,16,-1,0,-1,-1,2
363,60,-1,1,-1,-1,11
364,112,-1,0,-1,-1,23
365,68,-1,1,-1,-1,14
366,18,-1,0,-1,-1,2
367,39,-1,0,-1,-1,7
368,52,-1,0,-1,-1,8
369,47,-1,1,-1,-1,9
370,38,-1,0,-1,-1,6
371,72,-1,1,-1,,24
372,12,-1,0,-1,-1,2
373,29,-1,0,-1,-1,5
374,37,-1,0,-1,-1,3
375,39,-1,0,-1,-1,2
376,26,-1,0,-1,-1,3
377,39,-1,0,-1,-1,4
378,50,-1,0,-1,-1,8
379,17,-1,1,-1,-1,1
380,175,-1,1,-1,-1,30
381,27,-1,0,-1,-1,6
382,56,-1,0,-1,-1,8
383,77,-1,0,-1,-1,11
384,45,,1,['utf-8'],Apache/2,9
385,14,-1,0,-1,-1,3
386,164,-1,1,-1,-1,11
387,45,-1,0,-1,-1,5
388,78,-1,1,-1,-1,16
389,37,-1,0,-1,-1,4
390,55,-1,0,-1,-1,6
391,88,318841,0,['utf-8'],,16
392,13,-1,0,-1,-1,2
393,53,-1,1,-1,-1,9
394,69,-1,0,-1,-1,12
395,32,-1,0,-1,-1,6
396,103,100454,0,['utf-8'],nginx,20
397,41,-1,0,-1,-1,7
398,19,-1,0,-1,-1,2
399,90,-1,0,-1,-1,12
400,22,-1,0,-1,-1,3
401,38,-1,0,-1,-1,7
402,208,-1,1,-1,-1,15
403,102,-1,1,-1,-1,16
404,19,-1,1,-1,-1,2
405,36,-1,0,-1,-1,5
406,82,,1,['iso-8859-15'],Apache/2.4.56 (Debian),16
407,99,,1,['utf-8'],Apache,18
408,53,-1,1,-1,-1,11
409,25,-1,0,-1,-1,5
410,54,-1,0,-1,-1,7
411,130,-1,0,-1,-1,21
412,33,-1,0,-1,-1,4
413,51,-1,0,-1,-1,6
414,31,-1,0,-1,-1,3
415,52,-1,0,-1,-1,7
416,50,-1,0,-1,-1,8
417,94,-1,0,-1,-1,15
418,61,-1,0,-1,-1,9
419,24,-1,0,-1,-1,4
420,16,-1,0,-1,-1,4
421,62,-1,0,-1,-1,8
422,33,-1,1,-1,-1,9
423,95,-1,0,-1,-1,12
424,31,-1,0,-1,-1,3
425,41,0,1,[None],Apache,8
426,21,-1,0,-1,-1,2
427,69,-1,1,-1,-1,12
428,40,-1,0,-1,-1,4
429,21,-1,0,-1,-1,3
430,23,-1,1,-1,-1,2
431,35,-1,0,-1,-1,6
432,37,-1,0,-1,-1,5
433,16,-1,0,-1,-1,2
434,40,-1,0,-1,-1,5
435,23,-1,0,-1,-1,3
436,54,-1,0,-1,-1,7
437,55,-1,0,-1,-1,6
438,44,-1,0,-1,-1,6
439,86,,0,['utf-8'],nginx,15
440,76,-1,1,-1,-1,12
441,146,-1,0,-1,-1,20
442,73,-1,0,-1,-1,13
443,46,-1,0,-1,-1,8
444,73,-1,0,-1,-1,11
445,123,-1,1,-1,-1,21
446,22,-1,0,-1,-1,3
447,59,-1,0,-1,-1,9
448,37,-1,0,-1,-1,7
449,81,-1,1,-1,-1,16
