,url_length,mal,special_chars
1656,51,0,2
1657,62,0,8
1658,14,1,1
1659,24,0,5
1660,41,0,4
1661,50,0,6
1662,107,0,25
1663,46,0,6
1664,51,0,5
1665,42,0,4
1666,54,1,13
1667,56,1,8
1668,51,0,6
1669,37,0,5
1670,49,0,7
1671,74,0,9
1672,50,0,8
1673,46,0,7
1674,47,0,6
1675,117,1,20
1676,32,0,4
1677,24,0,2
1678,26,1,2
1679,44,0,5
1680,55,1,8
1681,32,0,5
1682,38,0,6
1683,83,1,17
1684,19,1,1
1685,69,0,11
1686,21,0,2
1687,31,0,3
1688,51,0,7
1689,107,1,19
1690,108,1,21
1691,65,0,8
1692,20,0,2
1693,72,1,24
1694,19,0,2
1695,57,0,9
1696,111,1,19
1697,98,1,16
1698,30,0,3
1699,31,0,4
1700,93,0,20
1701,71,1,16
1702,41,0,5
1703,20,0,2
1704,139,1,24
1705,33,0,4
1706,27,0,3
1707,120,0,18
1708,55,0,7
1709,15,1,2
1710,121,0,13
1711,83,0,11
1712,48,1,11
1713,170,1,45
1714,73,1,15
1715,46,0,6
1716,87,0,12
1717,124,1,22
1718,19,1,1
1719,46,0,6
1720,55,0,10
1721,19,0,2
1722,28,0,2
1723,31,0,5
1724,55,1,8
1725,96,0,16
1726,140,1,25
1727,86,1,16
1728,52,0,5
1729,31,0,4
1730,37,0,5
1731,19,0,2
1732,31,0,5
1733,12,1,1
1734,70,1,13
1735,28,0,3
1736,108,1,36
1737,51,0,9
1738,12,0,3
1739,44,0,8
1740,97,0,17
1741,32,0,4
1742,54,0,5
1743,50,0,8
1744,23,0,4
1745,12,0,2
1746,88,0,11
1747,38,0,5
1748,49,0,6
1749,202,1,20
1750,21,0,4
1751,102,1,19
1752,14,1,1
1753,59,1,11
1754,77,1,13
1755,82,1,15
1756,20,1,2
1757,56,0,9
1758,39,0,4
1759,42,0,5
1760,57,1,9
1761,80,0,10
1762,59,0,8
1763,77,0,12
1764,113,0,16
1765,43,0,4
1766,92,1,17
1767,106,0,17
1768,36,0,8
1769,35,0,3
1770,111,1,20
1771,103,1,16
1772,90,0,11
1773,50,0,7
1774,15,0,2
1775,35,0,5
1776,67,1,13
1777,65,0,7
1778,117,0,23
1779,32,0,4
1780,26,1,2
1781,38,0,5
1782,29,0,2
1783,188,1,16
1784,52,0,7
1785,44,0,5
1786,87,0,14
1787,92,1,14
1788,51,0,6
1789,137,0,23
1790,27,0,3
1791,173,1,27
1792,59,0,9
1793,39,0,7
1794,42,1,7
1795,54,1,11
1796,44,0,4
1797,42,0,5
1798,139,0,24
1799,61,0,8
