,url_length,mal,special_chars
398,19,0,2
399,90,0,12
400,22,0,3
401,38,0,7
402,208,1,15
403,102,1,16
404,19,1,2
405,36,0,5
406,82,1,16
407,99,1,18
408,53,1,11
409,25,0,5
410,54,0,7
411,130,0,21
412,33,0,4
413,51,0,6
414,31,0,3
415,52,0,7
416,50,0,8
417,94,0,15
418,61,0,9
419,24,0,4
420,16,0,4
421,62,0,8
422,33,1,9
423,95,0,12
424,31,0,3
425,41,1,8
426,21,0,2
427,69,1,12
428,40,0,4
429,21,0,3
430,23,1,2
431,35,0,6
432,37,0,5
433,16,0,2
434,40,0,5
435,23,0,3
436,54,0,7
437,55,0,6
438,44,0,6
439,86,0,15
440,76,1,12
441,146,0,20
442,73,0,13
443,46,0,8
444,73,0,11
445,123,1,21
446,22,0,3
447,59,0,9
448,37,0,7
449,81,1,16
450,99,1,33
451,31,0,4
452,51,1,10
453,34,0,5
454,71,0,10
455,54,0,4
456,54,0,9
457,51,0,7
458,41,0,5
459,87,0,14
460,37,0,6
461,69,0,9
462,45,1,10
463,69,0,7
464,79,0,17
465,70,0,9
466,18,0,2
467,33,0,5
468,121,1,23
469,79,1,12
470,31,0,4
471,15,1,1
472,98,1,17
473,11,1,1
474,48,0,9
475,23,0,2
476,38,0,7
477,47,0,5
478,126,1,20
479,75,0,9
480,21,0,3
481,116,0,14
482,42,0,6
483,118,0,17
484,11,0,2
485,59,1,10
486,23,0,3
487,65,0,13
488,23,0,2
489,39,0,6
490,38,0,5
491,113,0,19
492,74,0,14
493,84,1,28
494,34,0,5
495,34,0,5
496,14,0,2
497,11,1,1
498,31,0,4
499,39,0,5
500,13,0,2
501,71,1,13
502,25,1,3
503,132,0,19
504,17,0,3
505,29,0,4
506,39,0,7
507,103,0,13
508,81,0,11
509,46,1,8
510,74,0,11
511,77,0,9
512,65,0,7
513,57,0,6
514,64,0,9
515,43,0,7
516,148,1,26
517,124,1,24
518,73,0,11
519,43,0,5
520,83,1,14
521,50,1,6
522,132,1,22
523,72,0,13
524,26,0,4
525,33,0,5
526,54,0,8
527,97,0,13
528,18,0,2
529,150,0,18
530,50,0,11
531,36,0,6
532,19,0,2
533,83,1,15
534,23,1,3
535,36,0,7
536,20,0,2
537,45,0,6
538,63,0,11
539,129,1,31
540,23,0,3
541,44,0,5
542,62,0,8
543,83,1,15
544,106,1,22
545,79,0,15
546,96,0,12
547,18,0,2
548,36,1,2
549,48,1,8
550,50,0,8
551,53,0,8
552,31,0,4
553,54,0,7
554,25,0,4
555,41,0,7
556,76,1,11
557,43,1,9
558,61,0,10
559,31,0,4
560,69,1,12
561,96,1,19
562,63,0,14
563,77,0,9
564,39,0,4
565,17,0,2
566,24,0,4
567,38,0,4
568,111,0,17
569,25,0,2
570,67,0,11
571,25,1,6
572,59,0,10
573,35,0,5
574,45,1,10
575,51,0,7
576,39,0,4
577,70,0,10
578,39,0,5
579,36,0,5
580,87,0,14
581,27,0,5
582,45,0,5
583,17,0,2
584,86,0,16
585,120,0,21
586,93,1,17
587,33,0,5
588,46,0,6
589,91,0,15
590,68,0,14
591,44,0,8
592,151,0,25
593,21,0,3
594,69,1,14
595,25,0,3
596,126,1,21
597,34,1,7
598,56,0,7
599,32,1,8
600,135,0,23
601,35,0,5
602,57,0,8
603,43,0,4
604,36,0,5
605,64,1,13
606,68,0,11
607,62,0,8
608,35,0,4
609,30,0,5
610,93,0,20
611,38,0,4
612,27,0,3
613,156,1,29
614,74,0,10
615,16,0,2
616,67,0,7
617,146,0,19
618,46,1,10
619,33,0,5
620,87,1,17
621,35,0,4
622,39,0,7
623,49,0,8
624,12,0,2
625,74,0,12
626,57,1,13
627,32,1,7
628,43,1,9
629,112,0,18
630,35,0,5
631,27,0,4
632,63,1,11
633,25,1,6
634,165,0,26
635,131,1,24
636,67,0,11
637,81,1,15
638,22,0,3
639,36,0,4
640,25,1,1
641,103,1,17
642,44,0,5
643,36,0,5
644,42,0,4
645,87,0,14
646,19,1,2
647,119,1,15
648,40,0,7
649,58,0,6
650,13,0,2
651,58,1,12
652,131,1,16
653,94,0,30
654,220,1,16
655,44,0,7
656,68,0,11
657,45,0,7
658,31,0,4
659,64,0,8
660,179,1,28
661,60,0,10
662,101,0,27
663,31,0,4
664,23,1,1
665,18,0,3
666,64,0,9
667,58,0,7
668,116,0,20
669,48,1,9
670,112,0,21
671,110,1,15
672,42,0,6
673,58,0,9
674,27,0,3
675,91,1,12
